title,region,publisher,productId,upc,releaseDate,rating
Castlevania: Aria of Sorrow,US,Konami,AGB-A2CE-USA,083717500322,05/06/03,T
Castlevania: Circle of the Moon,US,Konami,AGB-AAME-USA,083717500018,06/10/01,T
Castlevania: Harmony of Dissonance,US,Konami,AGB-ACHE-USA,083717500216,09/16/02,T
Catwoman,US,EA Games,AGB-BCWE-USA,014633147933,07/20/04,T
Catz,US,Ubisoft,AGB-AN3E-USA,008888140900,03/22/06,E
Centipede / Breakout / Warlords,US,DSI Games,AGB-B6ZE-USA,802068100551,08/21/05,E
Cesti to Meigurumi-tachi no Mahou no Bouken: Kisekko Gurumii,JP,MTO,AGB-A2VJ-JPN,4536478000427,01/01/03,
Charlie and the Chocolate Factory,US,Global Star Software,AGB-BCFE-USA,710425257179,07/11/05,E
Charlie's Angels,US,Ubisoft,,,Canceled,
Charlotte's Web,US,Sega,AGB-BCJE-USA,010086600391,11/14/06,E
Chessmaster,US,Ubisoft,AGB-ACYE-USA,008888140245,08/28/02,E
Chicken Shoot,US,DSI Games,AGB-B6FE-USA,802068100308,10/18/05,E10+
Chicken Shoot 2,US,DSI Games,AGB-B6GE-USA,802068100315,11/10/05,E10+
Chobits for Gameboy Advance: Atashi Dake no Hito,JP,Marvelous Entertainment,AGB-AOCJ-JPN,4535506300201,09/27/02,
Chocobo Land: A Game of Dice,EU,Square EA,,,Canceled,
Choujin Ultra Baseball GBA,JP,Culture Brain,AGB-P-BUBJ,4967996205092,Canceled,
Chronicles of Eden Vol. I: Vangarde's Tale,US,,,,Canceled,
ChuChu Rocket!,US,Sega,AGB-ACRE-USA,010086600001,06/10/01,E
Cinnamon FuwaFuwa Daibouken,JP,Rocket Company,AGB-B43J-JPN,4542058000312,12/01/05,
Cinnamon: Yume no Daibouken,JP,Imagineer,AGB-B2SJ-JPN,4965857071145,12/02/04,
Cinnamoroll Koko ni Iru yo,JP,Imagineer,AGB-BPSJ-JPN,4965857071138,12/05/03,
Classic NES Series: Bomberman,US,Nintendo,AGB-FBME-USA,045496734176,06/02/04,E
Classic NES Series: Castlevania,US,Nintendo,AGB-FADE-USA,045496734855,10/25/04,E
Classic NES Series: Donkey Kong,US,Nintendo,AGB-FDKE-USA,045496734053,06/02/04,E
