title,region,publisher,productId,upc,releaseDate,rating
Cheetahmen: The Creation,US,Active Enterprises,,738435449162,2011,
Chess Academy,AS,Sachen,,,1991,
Chester Field: Ankoku Shin e no Chousen,JP,Vic Tokai,VIC-CF,4966550187027,07/30/87,
Chibi Maruko-Chan: Uki Uki Shopping,JP,Namco,,4907892000759,10/04/91,
Chiisana Obake: Acchi Socchi Kocchi,JP,Vap,VAP-AV,4988021095136,12/04/92,
Chiller,US,"American Game Cartridges, Inc.",700142,,1990,
Chinese Checkers,AS,Sachen,,,1991,
Chinese Chess,AS,Micro Genius,MGC-001,Other,1991,
Chip's Challenge,US,Bullet Proof Software,,,Canceled,
Chiyonofuji no Ooichou,JP,Face,FAC-EJ,4968798100011,12/07/90,
Choplifter,JP,Jaleco Entertainment,JF-08,4907859101086,06/26/86,
Choujikuu Yousai Macross,JP,Bandai,NMR-4500,4907892090019,12/10/85,
Choujin Sentai Jetman,JP,Angel (Bandai),ANG-OY,4994068800046,12/21/91,
Chubby Cherub,US,Bandai,NES-CB,784550034912,October 1986,
Chuck Yeager's Fighter Combat,US,Electronic Arts,,,Canceled,
Chuka Taisen,JP,Taito Corporation,DTF-CW,4988611890035,09/22/89,
Chuugoku Janshi Story: Tonpuu,JP,Natsume,NAT-T8,4988635100097,12/23/89,
Chuugoku Senseijutsu,JP,Jaleco Entertainment,SAN-CO,4907859101246,11/29/88,
Circus Caper,US,Toho,NES-M7,,July 1990,
Circus Charlie,JP,Soft Pro,SFC-CC,4988603000206,03/04/86,
City Adventure Touch: Mystery of Triangle,JP,Toho,THF-TU,4988104005007,03/14/87,
City Connection,US,Jaleco Entertainment,NES-CI,,May 1988,
Clash at Demonhead,US,Vic Tokai,NES-B6-USA,034912784550,January 1990,
Classic Concentration,US,GameTek,NES-C8,,September 1990,
Cliffhanger,US,Sony Imagesoft,NES-HG,090451106031,November 1993,
Clu Clu Land,US,Nintendo,NES-CL,911990012229,October 1985,
Cobra Command,US,Data East,NES-CN,,November 1988,
Cobra Triangle,US,Nintendo,NES-CU,045496630478,July 1989,
Cocoron,JP,Sur de Wave,TKR-8C,4991734110010,05/03/91,
Code Name: Viper,US,Capcom,NES-VP,,March 1990,
Color a Dinosaur,US,Virgin Games,NES-CD-USA,052145800106,July 1993,
Columbus: Ougon no Yoake,JP,Tomy Corporation,TOM-CO,4904810778905,11/20/92,
Commando,US,Capcom,NES-CO,013388110018,November 1986,
Conan,US,Mindscape,NES-YY-USA,050047105008,February 1991,
Conflict,US,Vic Tokai,NES-C3,,March 1990,
Conquest of the Crystal Palace,US,Asmik Corporation of America,NES-7M,096066900033,November 1990,
Contra,US,Konami,NES-CT,015812890244,February 1988,
Contra Force,US,Konami,NES-CR,083717110286,September 1992,
Cool World,US,Ocean,NES-CX,,June 1993,
Cosmic Epsilon,JP,"Asmik Ace Entertainment, Inc",ASM-EO,4988126400033,11/24/89,
Cosmic Wars,JP,Konami,KDS-CJ,4988602550733,08/04/89,
Cosmo Police Galivan,JP,Nihon Bussan,NBF-GV,4960641000073,06/03/88,
Cosmos Cop,AS,NTDEC,,Other,1991,
Cowboy Kid,US,Romstar,NES-9C,095474180105,January 1992,
Crackout,US,Palcom,,,Canceled,
Crash 'n the Boys: Ice Challenge,US,Technos,,,Canceled,
Crash 'n' the Boys: Street Challenge,US,Technos,NES-S8,095303284035,October 1992,
Crayon Shin-Chan: Ora to Poi Poi,JP,Bandai,,4902425410241,08/27/93,
Crazy Climber,JP,Nichibutsu,NBF-CY,4960641000042,12/26/86,
Crazyland! The Ride Of Your Life!,US,NTVIC,,,Canceled,
Creatom,AS,Micro Genius,,Other,1991,
Crime Busters,AS,Bit Corp.,,,1989,
Crisis Force,JP,Konami,RC856,4988602569186,08/27/91,
CrossFire,JP,Kyugo Boueki,KYG-C9,4959044001206,11/02/90,
Crystal Mines,US,Color Dreams,CS-81002,,1989,
Crystalis,US,SNK,NES-GO-USA,018484215001,July 1990,E
Cyber Stadium Series: Base Wars,US,Ultra,NES-5B,,June 1991,
Cyberball,US,Jaleco Entertainment,NES-4Y,,1992,
Cybernoid: The Fighting Machine,US,Acclaim,NES-YN-USA,,December 1989,
Cycle Race: Road Man,JP,Tonkin House,TKS-G7,4961355676653,12/17/88,
Dai Meiro: Meikyu no Tatsujin,JP,Epoch,EPO-E7,4905040095404,11/30/90,
Dai-2-Ji Super Robot Taisen,JP,Banpresto,BAP-N9,4983164730098,12/19/91,
Daikaijyu Deburasu,JP,Data East,DFC-24,4961082610203,12/21/90,
Daiku no Gen-San 2: Akage no Dan no Gyakushuu,JP,Irem,IF-29,4962891100299,10/22/93,
Daisenryaku,JP,Bothtec,BTC-DY,4988671001013,10/11/88,
Daiva Story 6: Imperial of Nirsartia,JP,Toshiba EMI,TFS-DV,4988006008717,12/05/86,
Dance Aerobics,US,Nintendo,NES-AE-USA,045496630430,March 1989,
Dancing Blocks,AS,Sachen,,,1990,
Danny Sullivan's Indy Heat,US,Tradewest,NES-HT,,August 1992,
Dark Lord,JP,Data East,DFC-25,4961082610210,02/08/91,
Darkman,US,Ocean,NES-N8,020295010027,October 1991,
Dash Galaxy in the Alien Asylum,US,Data East,NES-XY,,February 1990,
Data East All-Star Collection,US,Retro-Bit,RB-CT-102,849172009868,12/15/17,
David Crane's A Boy and His Blob: Trouble on Blobolonia,US,Absolute Entertainment,NES-B5-USA,047875700130,January 1990,
Day Dreamin' Davey,US,HAL Labs,NES-6D-USA,040458333107,June 1992,
Days of Thunder,US,Mindscape,NES-YH,,October 1990,
Days of Thunder (Canceled),US,Mindscape,,,Canceled,
De-Block,JP,Athena,ATH-9L,4988679000100,08/09/91,
Deadly Towers,US,Broderbund,NES-DE-USA,047956120406,September 1987,
Death Race,US,American Game Cartridges,n/a,723175001022,1991,
Deathbots,US,American Video Entertainment,,,1990,
Deep Dungeon III: Yuushi e no Tabi,JP,SquareSoft,SQF-UT,4961012881017,05/13/88,
Deep Dungeon IV: Kuro no Youjutsushi,JP,"Asmik Ace Entertainment, Inc",ASM-4D,4988126400057,04/06/90,
